NĂ©v;KategĂłria;Aliasok
"CBCT (kis volumenĹ±, fogĂˇszati)";"VizsgĂˇlat Ă©s diagnosztika";"CBCT|cone beam|3D rĂ¶ntgen|kis CBCT"
"CBCT (nagy volumenĹ±)";"VizsgĂˇlat Ă©s diagnosztika";"nagy CBCT|teljes CBCT|nagy tĂ©rfogatĂş CBCT"
"Endodonciai CBCT (egy fog, kis volumen)";"VizsgĂˇlat Ă©s diagnosztika";"endo CBCT|fĂłkusz CBCT|5x5 CBCT"
"TelerĂ¶ntgen";"VizsgĂˇlat Ă©s diagnosztika";"tele|telerĂ¶ntgen|kefalometriĂˇs|cefalometriĂˇs rĂ¶ntgen"
"Sinus rĂ¶ntgen";"VizsgĂˇlat Ă©s diagnosztika";"sinus RTG|mellĂ©kĂĽreg rĂ¶ntgen|orrmellĂ©kĂĽreg felvĂ©tel"
"CBCT/rĂ¶ntgen kiadĂˇsa pendrive-on";"VizsgĂˇlat Ă©s diagnosztika";"rĂ¶ntgen kiadĂˇs|CBCT pendrive|kĂ©pkiadĂˇs"
"DigitĂˇlis szkennelĂ©s (1 fogĂ­v)";"VizsgĂˇlat Ă©s diagnosztika";"szkennelĂ©s|intraorĂˇlis szken|digitĂˇlis lenyomat|iTero|TRIOS|Primescan"
"DigitĂˇlis szkennelĂ©s (2 fogĂ­v)";"VizsgĂˇlat Ă©s diagnosztika";"teljes szkennelĂ©s|alsĂł-felsĹ‘ szken"
"LenyomatvĂ©tel alginĂˇtos (egyszerĹ±)";"VizsgĂˇlat Ă©s diagnosztika";"alginĂˇt lenyomat|tanulmĂˇnyi lenyomat|preliminary lenyomat"
"LenyomatvĂ©tel precĂ­ziĂłs szilikon";"VizsgĂˇlat Ă©s diagnosztika";"precĂ­ziĂłs lenyomat|szilikon lenyomat|A-szilikon|polivinil sziloxĂˇn"
"LenyomatvĂ©tel egyĂ©ni kanĂˇllal";"VizsgĂˇlat Ă©s diagnosztika";"egyĂ©ni kanalas|individuĂˇlis kanĂˇl|funkcionĂˇlis lenyomat"
"EgyĂ©ni kanĂˇl kĂ©szĂ­tĂ©se";"VizsgĂˇlat Ă©s diagnosztika";"egyĂ©ni kanĂˇl|individual tray"
"HarapĂˇsrĂ¶gzĂ­tĂ©s (alkalmankĂ©nt)";"VizsgĂˇlat Ă©s diagnosztika";"harapĂˇs|bite|interocclusal record|harapĂˇsi regisztrĂˇciĂł"
"ArcĂ­ves harapĂˇsregisztrĂˇciĂł";"VizsgĂˇlat Ă©s diagnosztika";"arcĂ­v|facebow|arcĂ­ves bemĂ©rĂ©s"
"AxiogrĂˇfos Ă­zĂĽleti bemĂ©rĂ©s";"VizsgĂˇlat Ă©s diagnosztika";"axiogrĂˇf|axiogrĂˇfia|Ă­zĂĽletbemĂ©rĂ©s|Ă­zĂĽleti pĂˇlya rĂ¶gzĂ­tĂ©s"
"3D nyomtatott modell (db)";"VizsgĂˇlat Ă©s diagnosztika";"3D modell|nyomtatott modell|tanulmĂˇnyi modell"
"Wax-up (felviaszolĂˇs, fogankĂ©nt)";"VizsgĂˇlat Ă©s diagnosztika";"wax up|felviaszolĂˇs|diagnosztikai felviaszolĂˇs|tervezĂ©si viaszolĂˇs"
"Mock-up (vizualizĂˇciĂł szĂˇjban, fogankĂ©nt)";"VizsgĂˇlat Ă©s diagnosztika";"mock up|vizualizĂˇciĂł|prĂłba szĂˇjban|esztĂ©tikai prĂłba"
"VizualizĂˇciĂł rĂ¶gzĂ­tve (hosszĂştĂˇvĂş prĂłba, fogankĂ©nt)";"VizsgĂˇlat Ă©s diagnosztika";"hosszĂş mock up|tartĂłs vizualizĂˇciĂł|long term mock up"
"VizualizĂˇciĂł dublĂ­rozĂˇsa (fogĂ­venkĂ©nt)";"VizsgĂˇlat Ă©s diagnosztika";"mock up dublĂ­rozĂˇs|prĂłba mĂˇsolat"
"DigitĂˇlis mosolytervezĂ©s (DSD)";"VizsgĂˇlat Ă©s diagnosztika";"DSD|smile design|mosolytervezĂ©s|smiledesign"
"TasakmĂ©rĂ©s / parodontĂˇlis stĂˇtusz";"VizsgĂˇlat Ă©s diagnosztika";"tasakmĂ©rĂ©s|paro stĂˇtusz|paroprobĂˇlĂˇs|szondĂˇzĂˇs|paro charting"
"Diagnodent lĂ©zeres szuvasodĂˇsmĂ©rĂ©s";"VizsgĂˇlat Ă©s diagnosztika";"diagnodent|lĂ©zeres caries|szuvasodĂˇsmĂ©rĂ©s"
"Sialometria (nyĂˇltermelĂ©s vizsgĂˇlat)";"VizsgĂˇlat Ă©s diagnosztika";"sialometria|nyĂˇl|nyĂˇltermelĂ©s|nyĂˇlmennyisĂ©g"
"Genetikai/bakteriolĂłgiai paro teszt";"VizsgĂˇlat Ă©s diagnosztika";"paro teszt|baktĂ©rium teszt|genetikai teszt|PerioSafe"
"PCR teszt";"VizsgĂˇlat Ă©s diagnosztika";"PCR|patogĂ©n PCR|baktĂ©rium PCR"
"SzĂ¶vettani vizsgĂˇlat";"VizsgĂˇlat Ă©s diagnosztika";"szĂ¶vettan|hisztolĂłgia|biopszia"
"LĂˇgyrĂ©sz mintavĂ©tel (biopszia)";"VizsgĂˇlat Ă©s diagnosztika";"biopszia|mintavĂ©tel|lĂˇgyrĂ©szbiopszia|incisionalis biopszia"
"ICT komputer-vezĂ©relt Ă©rzĂ©stelenĂ­tĂ©s";"VizsgĂˇlat Ă©s diagnosztika";"ICT|szĂˇmĂ­tĂłgĂ©pes Ă©rzĂ©stelenĂ­tĂ©s|Quick Sleeper|computer assisted anesthesia|CCLAD"
"InfiltrĂˇciĂłs Ă©rzĂ©stelenĂ­tĂ©s";"VizsgĂˇlat Ă©s diagnosztika";"infiltrĂˇciĂł|szĂşrĂˇs|szuri|Ă©rzĂ©stelenĂ­tĂ©s"
"VezetĂ©ses Ă©rzĂ©stelenĂ­tĂ©s";"VizsgĂˇlat Ă©s diagnosztika";"mandibulĂˇris blokk|vezetĂ©ses|n. alveolaris inferior|alveolaris Ă©rzĂ©stelenĂ­tĂ©s"
"IntraligamentĂˇlis Ă©rzĂ©stelenĂ­tĂ©s";"VizsgĂˇlat Ă©s diagnosztika";"intraligamentĂˇlis|PDL Ă©rzĂ©stelenĂ­tĂ©s"
"FelszĂ­ni anesztĂ©zia (gĂ©l)";"VizsgĂˇlat Ă©s diagnosztika";"felszĂ­ni Ă©rzĂ©stelenĂ­tĂ©s|gĂ©l|EMLA|topikĂˇlis anesztĂ©zia"
"Tudatos szedĂˇciĂł (Dormicum)";"VizsgĂˇlat Ă©s diagnosztika";"szedĂˇciĂł|tudatos szedĂˇciĂł|Dormicum|midazolam"
"NitrogĂ©n-oxidul szedĂˇciĂł (kacaj-gĂˇz)";"VizsgĂˇlat Ă©s diagnosztika";"N2O|kacaj-gĂˇz|nitrogĂ©n-oxidul|inhalĂˇciĂłs szedĂˇciĂł"
"KezelĂ©si terv elkĂ©szĂ­tĂ©se";"VizsgĂˇlat Ă©s diagnosztika";"kezelĂ©si terv|terĂˇpiĂˇs terv|treatment plan"
"Ă�rajĂˇnlat kĂ©szĂ­tĂ©se";"VizsgĂˇlat Ă©s diagnosztika";"ĂˇrajĂˇnlat|ajĂˇnlat|kalkulĂˇciĂł"
"SzĂˇjhigiĂ©nĂ©s felmĂ©rĂ©s Ă©s tanĂˇcsadĂˇs (30 perc)";"DentĂˇlhigiĂ©nia";"szĂˇjhigiĂ©nĂ© felmĂ©rĂ©s|szĂˇjhigiĂ©nia|tanĂˇcsadĂˇs|fogmosĂˇs oktatĂˇs"
"EgyĂ©ni szĂˇjhigiĂ©nĂ©s instrukciĂł (gyermek)";"DentĂˇlhigiĂ©nia";"gyermek szĂˇjhigiĂ©nĂ©|gyerek oktatĂˇs|fogmosĂˇs oktatĂˇs gyermek"
"ProfesszionĂˇlis UH fogkĹ‘eltĂˇvolĂ­tĂˇs (felnĹ‘tt)";"DentĂˇlhigiĂ©nia";"depurĂˇlĂˇs|UH|ultrahangos fogkĹ‘|scaling|fogkĹ‘leszedĂ©s"
"ProfesszionĂˇlis fogkĹ‘eltĂˇvolĂ­tĂˇs (gyermek)";"DentĂˇlhigiĂ©nia";"depurĂˇlĂˇs gyermek|fogkĹ‘leszedĂ©s gyerek|gyermek scaling"
"Air-flow / Prophy-jet polĂ­rozĂˇs";"DentĂˇlhigiĂ©nia";"airflow|prophy jet|homokfĂşvĂł|polĂ­rozĂˇs|air polishing"
"Air-flow / Prophy-jet polĂ­rozĂˇs (gyermek)";"DentĂˇlhigiĂ©nia";"airflow gyerek|prophy jet gyermek"
"Komplex dentĂˇlhigiĂ©nĂ©s kezelĂ©s (UH + Prophy-jet, felnĹ‘tt)";"DentĂˇlhigiĂ©nia";"DH|komplex DH|fogkĹ‘+polĂ­rozĂˇs|kombinĂˇlt tisztĂ­tĂˇs|szĂˇjhigi"
"Komplex dentĂˇlhigiĂ©nĂ©s kezelĂ©s (gyermek)";"DentĂˇlhigiĂ©nia";"DH gyermek|kombinĂˇlt gyerek|gyermek dentĂˇlhigiĂ©nia"
"ĂŤny alatti fogkĹ‘eltĂˇvolĂ­tĂˇs kvadrĂˇnsonkĂ©nt";"DentĂˇlhigiĂ©nia";"subgingivĂˇlis depurĂˇlĂˇs|Ă­ny alatti scaling|kvadrĂˇns scaling"
"Sonicflex tasakkezelĂ©s (teljes fogazat)";"DentĂˇlhigiĂ©nia";"sonicflex|paro endo|tasakkezelĂ©s|piezo tasak"
"Root planing kvadrĂˇnsonkĂ©nt";"DentĂˇlhigiĂ©nia";"root planing|gyĂ¶kĂ©rfelszĂ­n simĂ­tĂˇs|RP|gyĂ¶kĂ©rsimĂ­tĂˇs"
"FluoridĂˇlĂˇs (Duraphat lakk)";"DentĂˇlhigiĂ©nia";"fluor|fluoridĂˇlĂˇs|Duraphat|fluorid lakk"
"Fluorid ionoforĂ©zis";"DentĂˇlhigiĂ©nia";"ionoforĂ©zis|fluorid ionoforĂ©zis"
"Fluor Protector";"DentĂˇlhigiĂ©nia";"fluor protector|Ivoclar fluor|UV fluor"
"Tooth Mousse alkalmazĂˇs";"DentĂˇlhigiĂ©nia";"tooth mousse|CPP-ACP|MI Paste|remineralizĂˇlĂł"
"PlakkfestĂ©s Ă©s oktatĂˇs";"DentĂˇlhigiĂ©nia";"plakkfestĂ©s|festĹ‘ tabletta|disclosing tablet"
"Frontfog tĂ¶mĂ©s (1 felszĂ­n)";"KonzervĂˇlĂł fogĂˇszat";"front 1F|metszĹ‘ tĂ¶mĂ©s 1F|kompozit front 1F|esztĂ©tikus tĂ¶mĂ©s"
"Frontfog tĂ¶mĂ©s (2 felszĂ­n)";"KonzervĂˇlĂł fogĂˇszat";"front 2F|metszĹ‘ tĂ¶mĂ©s 2F|kompozit front 2F"
"Frontfog tĂ¶mĂ©s (3 felszĂ­n)";"KonzervĂˇlĂł fogĂˇszat";"front 3F|metszĹ‘ tĂ¶mĂ©s 3F|kompozit front 3F|Ă©lpĂłtlĂˇs+tĂ¶mĂ©s"
"Frontfog tĂ¶mĂ©s (4+ felszĂ­n)";"KonzervĂˇlĂł fogĂˇszat";"front 4F|metszĹ‘ tĂ¶mĂ©s 4F|kiterjesztett front tĂ¶mĂ©s"
"KisĹ‘rlĹ‘ tĂ¶mĂ©s (1 felszĂ­n)";"KonzervĂˇlĂł fogĂˇszat";"premolĂˇris 1F|kisĂ¶rlĹ‘ 1F|kompozit kisĹ‘rlĹ‘ 1F|P1F"
"KisĹ‘rlĹ‘ tĂ¶mĂ©s (2 felszĂ­n)";"KonzervĂˇlĂł fogĂˇszat";"premolĂˇris 2F|kisĂ¶rlĹ‘ 2F|MOD kisĹ‘rlĹ‘ 2F|P2F"
"KisĹ‘rlĹ‘ tĂ¶mĂ©s (3+ felszĂ­n)";"KonzervĂˇlĂł fogĂˇszat";"premolĂˇris 3F|kisĂ¶rlĹ‘ 3F|MOD kisĹ‘rlĹ‘|P3F"
"NagyĹ‘rlĹ‘ tĂ¶mĂ©s (1 felszĂ­n)";"KonzervĂˇlĂł fogĂˇszat";"molĂˇris 1F|nagyĂ¶rlĹ‘ 1F|kompozit molĂˇris 1F|M1F"
"NagyĹ‘rlĹ‘ tĂ¶mĂ©s (2 felszĂ­n)";"KonzervĂˇlĂł fogĂˇszat";"molĂˇris 2F|nagyĂ¶rlĹ‘ 2F|MOD molĂˇris 2F|M2F"
"NagyĹ‘rlĹ‘ tĂ¶mĂ©s (3+ felszĂ­n)";"KonzervĂˇlĂł fogĂˇszat";"molĂˇris 3F|nagyĂ¶rlĹ‘ 3F|MOD molĂˇris|M3F"
"Fognyaki tĂ¶mĂ©s";"KonzervĂˇlĂł fogĂˇszat";"V. osztĂˇly|cervicalis tĂ¶mĂ©s|fognyak tĂ¶mĂ©s|abrĂˇziĂłs tĂ¶mĂ©s"
"Ă‰lpĂłtlĂˇs (frontfog)";"KonzervĂˇlĂł fogĂˇszat";"Ă©lpĂłtlĂˇs|incisalis pĂłtlĂˇs|inciso pĂłtlĂˇs"
"Direkt korona (kompozit, fogankĂ©nt)";"KonzervĂˇlĂł fogĂˇszat";"direkt korona|kompozit korona|build-up korona"
"FelĂ©pĂ­tĂ©s kompozittal (csap nĂ©lkĂĽl)";"KonzervĂˇlĂł fogĂˇszat";"felĂ©pĂ­tĂ©s|build up|kompozit felĂ©pĂ­tĂ©s|core build up"
"FelĂ©pĂ­tĂ©s rĂ¶vid ĂĽvegszĂˇlas kompozittal (everX)";"KonzervĂˇlĂł fogĂˇszat";"everX|short fiber|ĂĽvegszĂˇlas kompozit|biomimetikus felĂ©pĂ­tĂ©s"
"ĂśvegszĂˇlas csap behelyezĂ©se";"KonzervĂˇlĂł fogĂˇszat";"glass fiber post|ĂĽvegszĂˇlas csap|fiber post|gyĂ¶kĂ©rcsap"
"Csapos felĂ©pĂ­tĂ©s (ĂĽvegszĂˇlas csap + kompozit)";"KonzervĂˇlĂł fogĂˇszat";"csapos felĂ©pĂ­tĂ©s|csap+felĂ©pĂ­tĂ©s|post and core"
"RĂ©gi csap eltĂˇvolĂ­tĂˇsa";"KonzervĂˇlĂł fogĂˇszat";"csap eltĂˇvolĂ­tĂˇs|rĂ©gi csap eltĂˇvolĂ­tĂˇsa|post removal"
"Direkt felĂ©pĂ­tĂ©s injektĂˇlĂˇsos technikĂˇval";"KonzervĂˇlĂł fogĂˇszat";"injekciĂłs technika|inject technique|injektĂˇlĂˇsos|sĂ­n alatti kompozit"
"Direkt pulpasapkĂˇzĂˇs (vitĂˇlterĂˇpia, frontfog)";"KonzervĂˇlĂł fogĂˇszat";"vitĂˇlterĂˇpia front|direkt pulpa cap front|MTA front"
"Direkt pulpasapkĂˇzĂˇs (vitĂˇlterĂˇpia, kisĹ‘rlĹ‘)";"KonzervĂˇlĂł fogĂˇszat";"vitĂˇlterĂˇpia kisĹ‘rlĹ‘|direkt pulpa cap premolĂˇris"
"Direkt pulpasapkĂˇzĂˇs (vitĂˇlterĂˇpia, nagyĹ‘rlĹ‘)";"KonzervĂˇlĂł fogĂˇszat";"vitĂˇlterĂˇpia nagyĹ‘rlĹ‘|direkt pulpa cap molĂˇris"
"Indirekt pulpasapkĂˇzĂˇs";"KonzervĂˇlĂł fogĂˇszat";"indirekt pulpa cap|alĂˇbĂ©lelĂ©s mĂ©ly szuvasodĂˇsnĂˇl"
"AlĂˇbĂ©lelĂ©s MTA-val";"KonzervĂˇlĂł fogĂˇszat";"MTA alĂˇbĂ©lelĂ©s|MTA|Biodentine"
"AlĂˇbĂ©lelĂ©s Ledermix-szel";"KonzervĂˇlĂł fogĂˇszat";"ledermix|kortizonos alĂˇbĂ©lelĂ©s|gyulladĂˇscsillapĂ­tĂł alĂˇbĂ©lelĂ©s"
"Ideiglenes tĂ¶mĂ©s (ĂĽvegionomer)";"KonzervĂˇlĂł fogĂˇszat";"ideiglenes tĂ¶mĂ©s|GIC|ĂĽvegionomer|fuji"
"Ideiglenes tĂ¶mĂ©s (Cavit/cinkoxid-eugenol)";"KonzervĂˇlĂł fogĂˇszat";"cavit|ZOE|cinkoxid eugenol|ideiglenes lezĂˇrĂˇs"
"Inlay/Onlay (kompozit)";"KonzervĂˇlĂł fogĂˇszat";"kompozit inlay|kompozit onlay|kompozit betĂ©t"
"Inlay/Onlay (kerĂˇmia, e-max)";"KonzervĂˇlĂł fogĂˇszat";"e-max inlay|kerĂˇmia inlay|porcelĂˇn betĂ©t|kerĂˇmia onlay"
"Inlay/Onlay (cirkon)";"KonzervĂˇlĂł fogĂˇszat";"cirkon inlay|cirkon onlay|zirkĂłnium betĂ©t"
"TĂ¶mĂ©s-csiszolĂˇs / korrekciĂł";"KonzervĂˇlĂł fogĂˇszat";"korrekciĂł|csiszolĂˇs|adjusztĂˇlĂˇs|polish"
"MozgĂłfogak ideiglenes sĂ­nezĂ©se (kompozit)";"KonzervĂˇlĂł fogĂˇszat";"sĂ­nezĂ©s|kompozit sĂ­n|mobilis fog rĂ¶gzĂ­tĂ©s|temporary splint"
"MozgĂłfogak sĂ­nezĂ©se merevĂ­tĹ‘rosttal (Ribbond/Everstick)";"KonzervĂˇlĂł fogĂˇszat";"ribbond|everstick|fiber splint|merevĂ­tĹ‘rostos sĂ­nezĂ©s|Transmularis"
"KihĂşzott fog visszaragasztĂˇsa sĂ­nezĂ©ssel";"KonzervĂˇlĂł fogĂˇszat";"sajĂˇt fog visszaragasztĂˇs|reimplantĂˇciĂł kompozittal|kihĂşzott fog pĂłtlĂˇs"
"Kofferdam izolĂˇlĂˇs";"KonzervĂˇlĂł fogĂˇszat";"kofferdam|gumikendĹ‘|izolĂˇlĂˇs|rubber dam"
"MikroszkĂłpos diagnosztika (repedĂ©s/ĂˇlĂşt)";"KonzervĂˇlĂł fogĂˇszat";"mikroszkĂłp diag|repedĂ©skeresĂ©s|ĂˇlĂşt keresĂ©s|operating microscope diag"
"MikroszkĂłpos kiegĂ©szĂ­tĹ‘ kezelĂ©s preparĂˇlĂˇshoz";"KonzervĂˇlĂł fogĂˇszat";"mikroszkĂłp prepa|magnification|preparĂˇlĂˇs mikroszkĂłppal"
"Diagnosztikus direkt hĂ©j (Mock-up szĂˇjban, fogankĂ©nt)";"KonzervĂˇlĂł fogĂˇszat";"mock up szĂˇjban|prĂłba kompozittal|tervezĂ©si hĂ©j"
"TrepanĂˇlĂˇs (megnyitĂˇs)";"Endodoncia";"trepanĂˇlĂˇs|access opening|fogmegnyitĂˇs|kavitĂˇs kialakĂ­tĂˇs"
"PulpektĂłmia (Ă©lĹ‘ pulpa eltĂˇvolĂ­tĂˇs)";"Endodoncia";"pulpektĂłmia|pulp extirpation|Ă©lĹ‘ ideg eltĂˇvolĂ­tĂˇs"
"Pulpotomia";"Endodoncia";"pulpotomia|pulp amputation|rĂ©szleges pulpa eltĂˇvolĂ­tĂˇs"
"GyĂ¶kĂ©rkezelĂ©s elsĹ‘ kezelĂ©s - 1 csatorna (frontfog)";"Endodoncia";"gyĂ¶kĂ©rkezelĂ©s front|GYK 1 csat|RC 1 channel|root canal front|frontfog gyk"
"GyĂ¶kĂ©rkezelĂ©s elsĹ‘ kezelĂ©s - 2 csatorna (kisĹ‘rlĹ‘)";"Endodoncia";"gyĂ¶kĂ©rkezelĂ©s kisĹ‘rlĹ‘|GYK 2 csat|RC 2 channel|kisĹ‘rlĹ‘ gyk"
"GyĂ¶kĂ©rkezelĂ©s elsĹ‘ kezelĂ©s - 3 csatorna (nagyĹ‘rlĹ‘)";"Endodoncia";"gyĂ¶kĂ©rkezelĂ©s nagyĹ‘rlĹ‘ 3|GYK 3 csat|molĂˇris gyk 3"
"GyĂ¶kĂ©rkezelĂ©s elsĹ‘ kezelĂ©s - 4 csatorna (nagyĹ‘rlĹ‘)";"Endodoncia";"gyĂ¶kĂ©rkezelĂ©s nagyĹ‘rlĹ‘ 4|GYK 4 csat|molĂˇris gyk 4|MB2"
"GyĂ¶kĂ©rtĂ¶mĂ©s - 1 csatorna (frontfog)";"Endodoncia";"gyĂ¶kĂ©rtĂ¶mĂ©s front|GYT 1 csat|root filling 1|frontfog GYT"
"GyĂ¶kĂ©rtĂ¶mĂ©s - 2 csatorna (kisĹ‘rlĹ‘)";"Endodoncia";"gyĂ¶kĂ©rtĂ¶mĂ©s kisĹ‘rlĹ‘|GYT 2 csat|root filling 2"
"GyĂ¶kĂ©rtĂ¶mĂ©s - 3 csatorna (nagyĹ‘rlĹ‘)";"Endodoncia";"gyĂ¶kĂ©rtĂ¶mĂ©s nagyĹ‘rlĹ‘ 3|GYT 3 csat|molĂˇris GYT 3"
"GyĂ¶kĂ©rtĂ¶mĂ©s - 4 csatorna (nagyĹ‘rlĹ‘)";"Endodoncia";"gyĂ¶kĂ©rtĂ¶mĂ©s nagyĹ‘rlĹ‘ 4|GYT 4 csat|molĂˇris GYT 4"
"GyĂ¶kĂ©rcsatorna ĂˇtĂ¶blĂ­tĂ©s Ă©s gyĂłgyszeres zĂˇrĂˇs";"Endodoncia";"ĂˇtĂ¶blĂ­tĂ©s|gyĂłgyszeres zĂˇrĂˇs|CHX zĂˇrĂˇs|kalcium-hidroxid|interim dressing"
"KĂˇlcium-hidroxidos gyĂłgyszeres zĂˇrĂˇs";"Endodoncia";"Ca(OH)2|kalcium-hidroxid|gyĂłgyszeres zĂˇrĂˇs|UltraCal"
"RĂ©gi gyĂ¶kĂ©rtĂ¶mĂ©s eltĂˇvolĂ­tĂˇsa csatornĂˇnkĂ©nt (front/kisĹ‘rlĹ‘)";"Endodoncia";"GYT eltĂˇvolĂ­tĂˇs|reendo front|revĂ­ziĂłs front|RCT retreatment 1"
"RĂ©gi gyĂ¶kĂ©rtĂ¶mĂ©s eltĂˇvolĂ­tĂˇsa csatornĂˇnkĂ©nt (nagyĹ‘rlĹ‘)";"Endodoncia";"GYT eltĂˇvolĂ­tĂˇs molĂˇris|reendo molĂˇris|revĂ­ziĂłs molĂˇris"
"MikroszkĂłpos gyĂ¶kĂ©rkezelĂ©s elsĹ‘ kezelĂ©s - 1 csatorna";"Endodoncia";"MGYK 1|mikroszkĂłpos endo 1|microscope RC 1"
"MikroszkĂłpos gyĂ¶kĂ©rkezelĂ©s elsĹ‘ kezelĂ©s - 2 csatorna";"Endodoncia";"MGYK 2|mikroszkĂłpos endo 2|microscope RC 2"
"MikroszkĂłpos gyĂ¶kĂ©rkezelĂ©s elsĹ‘ kezelĂ©s - 3 csatorna";"Endodoncia";"MGYK 3|mikroszkĂłpos endo 3|microscope RC 3"
"MikroszkĂłpos gyĂ¶kĂ©rkezelĂ©s elsĹ‘ kezelĂ©s - 4 csatorna";"Endodoncia";"MGYK 4|mikroszkĂłpos endo 4|microscope RC 4"
"MikroszkĂłpos gyĂ¶kĂ©rkezelĂ©s mĂˇsodik kezelĂ©s - 1 csatorna";"Endodoncia";"MGYK 1 mĂˇsodik|mikroszkĂłpos endo mĂˇsodik 1"
"MikroszkĂłpos gyĂ¶kĂ©rkezelĂ©s mĂˇsodik kezelĂ©s - 2 csatorna";"Endodoncia";"MGYK 2 mĂˇsodik|mikroszkĂłpos endo mĂˇsodik 2"
"MikroszkĂłpos gyĂ¶kĂ©rkezelĂ©s mĂˇsodik kezelĂ©s - 3 csatorna";"Endodoncia";"MGYK 3 mĂˇsodik|mikroszkĂłpos endo mĂˇsodik 3"
"MikroszkĂłpos gyĂ¶kĂ©rkezelĂ©s mĂˇsodik kezelĂ©s - 4 csatorna";"Endodoncia";"MGYK 4 mĂˇsodik|mikroszkĂłpos endo mĂˇsodik 4"
"MikroszkĂłpos revĂ­ziĂł - GYT eltĂˇvolĂ­tĂˇs (front/kisĹ‘rlĹ‘, csatornĂˇnkĂ©nt)";"Endodoncia";"mikroszkĂłpos revĂ­ziĂł|micro retreatment front|MGYT-elt 1"
"MikroszkĂłpos revĂ­ziĂł - GYT eltĂˇvolĂ­tĂˇs (nagyĹ‘rlĹ‘, csatornĂˇnkĂ©nt)";"Endodoncia";"mikroszkĂłpos revĂ­ziĂł molĂˇris|micro retreatment molar|MGYT-elt M"
"MikroszkĂłpos betĂ¶rt mĹ±szer eltĂˇvolĂ­tĂˇsa";"Endodoncia";"betĂ¶rt reszelĹ‘|broken file removal|mĹ±szertĂ¶rĂ©s"
"MikroszkĂłpos csap eltĂˇvolĂ­tĂˇs";"Endodoncia";"csap eltĂˇvolĂ­tĂˇs mikroszkĂłppal|post removal|gyĂ¶kĂ©rcsap eltĂˇvolĂ­tĂˇs"
