Név;Kategória;Ár
"Kontroll kivehető készülékkel";"Fogszabályozás";180
"Kontroll rögzített készülékkel";"Fogszabályozás";181
"Kontroll-attachmentek ragasztása";"Fogszabályozás";182
"Lingual ív/TP ív/Goshgarian";"Fogszabályozás";183
"Mikroimplantátum fogszabályozási céllal";"Fogszabályozás";184
"Mikroimplantátumon elhorgonyzott fogszabályozó készülék-egyedi ár kezeléstől függően";"Fogszabályozás";185
"Myofunkcionális készülék";"Fogszabályozás";186
"Myolay harapásemelő";"Fogszabályozás";187
"Páciens viasz";"Fogszabályozás";188
"Quadhelix MB gyűrűkkel";"Fogszabályozás";189
"Quadhelix sima gyűrűkkel";"Fogszabályozás";190
"Rögzített fém fogszabályozó készülék egy fogívre (nem önligírozó)";"Fogszabályozás";191
"Rögzített fém fogszabályozó készülék egy fogívre (önligírozó)";"Fogszabályozás";192
"Rögzített fogszabályozó készülék egy fogívre esztétikus ( porcelán vagy zafír) brackettekkel (nem önligírozó)";"Fogszabályozás";193
"Rögzített fogszabályozó készülék egy fogívre esztétikus ( porcelán vagy zafír) brackettekkel (önligírozó)";"Fogszabályozás";194
"Rögzített készülék eltávolítása egy fogíven";"Fogszabályozás";195
"rögzített készülék levétel és retenciós készülék átadás / 1 fogívre";"Fogszabályozás";196
"sín átadás";"Fogszabályozás";197
"Smilezor fix ratainer";"Fogszabályozás";198
"Smilezor retenciós készülék";"Fogszabályozás";199
"Smilezor sínes fogszabályozás - tervezési díj";"Fogszabályozás";200
"Smilezor sínes fogszabályozás attachment levétel / fog";"Fogszabályozás";201
"Smilezor sínes fogszabályozás Attachment ragasztás / fog";"Fogszabályozás";202
"Smilezor sínes fogszabályozás Complex (48 sínes)";"Fogszabályozás";203
"Smilezor sínes fogszabályozás kontroll";"Fogszabályozás";204
"Smilezor sínes fogszabályozás PRO (68 sínes)";"Fogszabályozás";205
"Smilezor sínes fogszabályozás Quick (12 sínes)";"Fogszabályozás";206
"Smilezor sínes fogszabályozás Simple (22 sínes)";"Fogszabályozás";207
"Smilezor sínes fogszabályozás UNLIMITED (komplex esetekhez, korlátlan sín)";"Fogszabályozás";208
"Tejfoghúzás érzéstelenítő injekció nélkül";"Fogszabályozás";209
"Tejfoghúzás érzéstelenítővel";"Fogszabályozás";210
"Vivera retainer egy fogív";"Fogszabályozás";211
"Vivera retainer két fogív";"Fogszabályozás";212
"Barázdazárás (felszíni) kinetikus preparációs (EtchMaster aluminium kerámiaporos tisztítóval) mélytisztítással";"Gyerekfogászat";213
"Tejfog ideiglenes gyógyszeres tömése";"Gyerekfogászat";214
"tejfog trepanálás";"Gyerekfogászat";215
"Tejfoghúzás foganként";"Gyerekfogászat";216
"Tejfogtömés foganként";"Gyerekfogászat";217
"Egyéni harapásemelő készítése, egy hónap követéssel- lenyomatvételkor 50 % előleg fizetendő- (ha nem felel meg a készülék, 50 %-ot fizetünk vissza egy hónapon belül)";"Harapásemelők, horkolásgátlók, fogvédők";218
"Harapásemelők esetében egy hónapig díjtalan korrekció, azt követően alkalmanként";"Harapásemelők, horkolásgátlók, fogvédők";219
"Lions horkolásgátló készülék, lenyomatvételkor 50 % előleg fizetendő (ha nem felel meg a készülék, 100.000-ot fizetünk vissza egy hónapon belül) A kezelés ára tartalmazza a terápiás készülék elkészítéséhez szükséges scannelést, dokumentációt, harapás rögz";"Harapásemelők, horkolásgátlók, fogvédők";220
"Lions készülék (a készülék ára 150.000.-Ft, 1 hónap után, ha a készülék nem válik be, 75.000.-Ft-ot fizetünk vissza a készülék árából.)";"Harapásemelők, horkolásgátlók, fogvédők";221
"Myosa S 2 (TMJ MBV horkolásgátló 2. fázis)";"Harapásemelők, horkolásgátlók, fogvédők";222
"NTI -tss éjszakai harapásemelő egy hónap követéssel, részleges pénzvisszafizetési garanciával (ha nem felel meg a készülék, 50%-ot fizetünk vissza egy hónapon belül)";"Harapásemelők, horkolásgátlók, fogvédők";223
"NTI kontroll";"Harapásemelők, horkolásgátlók, fogvédők";224
"NTI vagy silensor készülék visszafizetése";"Harapásemelők, horkolásgátlók, fogvédők";225
"Play Safe heavy-pro sportolói fogvédő";"Harapásemelők, horkolásgátlók, fogvédők";226
"Playsafe sportolói fogvédő készítése (30.000.- Ft előre fizetendő)";"Harapásemelők, horkolásgátlók, fogvédők";227
"Silensor horkolásgátló - egy hónap követéssel, részleges pénzvisszafizetési garanciával (ha nem felel meg a készülék, 50 %-ot fizetünk vissza egy hónapon belül)";"Harapásemelők, horkolásgátlók, fogvédők";228
"Stabilizációs harapásemelő sín - az ár tartalmazza a sín újra készítését 2 alkalommal";"Harapásemelők, horkolásgátlók, fogvédők";229
"Stabilizációs sín";"Harapásemelők, horkolásgátlók, fogvédők";230
"Stabilizációs sín újra adaptálása";"Harapásemelők, horkolásgátlók, fogvédők";231
"TMJ BDS";"Harapásemelők, horkolásgátlók, fogvédők";232
"TMJ harapásemelő készülék";"Harapásemelők, horkolásgátlók, fogvédők";233
"TMJ-MBV horkolásgátló- egy hónap követéssel";"Harapásemelők, horkolásgátlók, fogvédők";234
"AlphaBio implantátum";"Implantáció";235
"Arcüreg emelés (sinuslift) a beültetéshez elegendő csontvastagság elérésére - nyílt technika";"Implantáció";236
"Arcüreg emelés (sinuslift), a beültetéshez elegendő csontvastagság elérésére - zárt technika";"Implantáció";237
"Átmenőcsavar implantátumba";"Implantáció";238
"Bio-oss csontpótló anyag /gramm (Geistlich, Svájc) – szakmai aranystandard: 25 éves tapasztalat, a legtöbbet használt ilyen termék)";"Implantáció";239
"BioGide membrán, mérettől függően 25x25cm";"Implantáció";240
"BioGide membrán, mérettől függően 30x40cm";"Implantáció";241
"Creos csontpótló Xenogain 0.50 g";"Implantáció";242
"Creos csontpótló Xenogain 1,00 g";"Implantáció";243
"Creos csontpótló Xenogain 2,00 g";"Implantáció";244
"Creos membrán Xenoprotect 15×20";"Implantáció";245
"Creos membrán Xenoprotect 30×40";"Implantáció";246
"Csontgyűjtő eszköz, Safescraper használata, (kíméletes sajátcsont gyűjtéséhez, anyagköltség!)";"Implantáció";247
"Csontpótlás állcsontgerinc szélesítés céljából";"Implantáció";248
"Csontpótlás: egy fog húzási helyének feltöltésére front és premoláris fog esetén";"Implantáció";249
"Csontpótlás: egy fog húzási helyének feltöltésére moláris fog esetén";"Implantáció";250
"Cytoplast (Osteogenics, USA) piacvezető nen felszívódó membrán) titán merevítésű nem felszívódó biomembrán nagy csontpótlások védelmére a gyógyulás idején, mérettől függően";"Implantáció";251
"Dentium SuperLine Implantátum";"Implantáció";252
"Egyéni gyógyulási csavar ideiglenes";"Implantáció";253
"Felépítő fej (Nobel-Biocare)";"Implantáció";254
"Felépítőfej implantátumra";"Implantáció";255
"Fogbeültetés foganként NobelActive TiUltra (Nobel-Biocare)";"Implantáció";256
"Fogbeültetés foganként NobelParallel CC TiUltra (Nobel-Biocare)";"Implantáció";257
"Fogbeültetés foganként NobelReplace CC TiUltra (Nobel-Biocare)";"Implantáció";258
"Fogbeültetés foganként Replace Tapered Select (Nobel-Biocare)";"Implantáció";259
"Ideiglenes implantátum (Bionika)";"Implantáció";260
"Implantátum betört csavar eltávolítása";"Implantáció";261
"Ínyformázó csavar";"Implantáció";262
"Mucograft ínypótló anyag egy fog húzási helyének fedésére (Geistlich, Svájc)";"Implantáció";263
"Multiunit NOBEL adapter az implantátum és a híd között";"Implantáció";264
"Nobel Pearl cirkónium implantátum";"Implantáció";265
"Nobel Pearl connector karbonszálas átmenőcsavarral";"Implantáció";266
"On1 Base CC Xeal";"Implantáció";267
"prostetic screw";"Implantáció";268
"Smart Guide digitális előfúró sablon";"Implantáció";269
"Straumann implantátum";"Implantáció";270
"Titán csavarok /db -a csontpótlást védő biomembrán rögzítésére (általában 4 db szükséges egy membrán rögzítéséhez)";"Implantáció";271
"Családtag kedvezmény 20%";"Kedvezmények";272
"Dolgozói kedvezmény 20%";"Kedvezmények";273
"Eseti kedvezmény 10%";"Kedvezmények";274
"Eseti kedvezmény 100%";"Kedvezmények";275
"Eseti kedvezmény 20%";"Kedvezmények";276
"Eseti kedvezmény 25%";"Kedvezmények";277
"Eseti kedvezmény 5%";"Kedvezmények";278
"Eseti kedvezmény 50%";"Kedvezmények";279
"korábbi túlfizetés korrekciója";"Kedvezmények";280
"Testvérkedvezmény 50%";"Kedvezmények";281
"Alábélelés Ledermix-szel/fog";"Konzerváló fogászat";282
"Alábélelés MTA-val";"Konzerváló fogászat";283
"Dentapreg ParaPost™ üvegrost mini csap/db";"Konzerváló fogászat";284
"Diagnosztikus direkt héj készítése fogorvos által, szájban, tanulmányi célból (Mock Up) foganként";"Konzerváló fogászat";285
"Direkt felépítés injektálásos technikával";"Konzerváló fogászat";286
"Direkt héj, foganként";"Konzerváló fogászat";287
"Direkt korona foganként";"Konzerváló fogászat";288
"Élpótlás";"Konzerváló fogászat";289
"EverX Posterior";"Konzerváló fogászat";290
"Felépítés Cosmedent Cosmecore™ felépítőanyaggal";"Konzerváló fogászat";291
"Felépítés Everx rövid-üvegszállal megerősített kompozit anyaggal";"Konzerváló fogászat";292
"Fluorid lakkozás";"Konzerváló fogászat";293
"Fognyaki tömések foganként";"Konzerváló fogászat";294
"Fogorvos által végzett professzionális fogkőeltávolítás és vizsgálat";"Konzerváló fogászat";295
"Frontfog 1 vagy 2 felszínű tömés";"Konzerváló fogászat";296
"Frontfog 3 felszínű tömés";"Konzerváló fogászat";297
"Gipszmodell becsiszolása";"Konzerváló fogászat";298
"Gyökércsatorna átöblítés és gyógyszeres zárás alkalmanként";"Konzerváló fogászat";299
"Gyökérkezelés gyökértöméssel front fogon( első kezelés 40.000, gyökértömés 40.000 )";"Konzerváló fogászat";300
"Gyökérkezelés gyökértöméssel kisőrlő fogon ( kezelés első alkalom 50.000, gyökértömés 50.000 )";"Konzerváló fogászat";301
"Gyökérkezelés gyökértöméssel nagyőrlő fogon 4 csatorna esetén";"Konzerváló fogászat";302
"Icon kezelés 4 fogig, foganként";"Konzerváló fogászat";303
"Icon kezelés 5-6 fogig, foganként";"Konzerváló fogászat";304
"Icon kezelés 7 fog felett, foganként";"Konzerváló fogászat";305
"Ideiglenes tömés üvegionomer tömőanyaggal";"Konzerváló fogászat";306
"Infiltrációs kezelés";"Konzerváló fogászat";307
"Intracanalis Dentapreg PinPost™ üvegrost csap a felépítő tömés jobb rögzítésére";"Konzerváló fogászat";308
"Kihúzott fogak pótlása Renamel tömőanyagból megmintázva sínezés során ( a sínezés árán felül)";"Konzerváló fogászat";309
"Kisőrlő tömés (1 felszínű tömés)";"Konzerváló fogászat";310
"Kisőrlő tömés (2 vagy több felszínű tömés)";"Konzerváló fogászat";311
"Kofferdam";"Konzerváló fogászat";312
"Korrekció";"Konzerváló fogászat";313
"Mikroszkópos betört műszer eltávolítás";"Konzerváló fogászat";314
"Mikroszkópos csap eltávolítás";"Konzerváló fogászat";315
"Mikroszkópos diagnosztika ( repedés, álút, csatorna keresés )";"Konzerváló fogászat";316
"Mikroszkópos extra kezelés bonyolult csatorna esetén";"Konzerváló fogászat";317
"Mikroszkópos gyökérkezelés 1 csatorna 2. kezelés";"Konzerváló fogászat";318
"Mikroszkópos gyökérkezelés 1 csatorna első kezelés";"Konzerváló fogászat";319
"Mikroszkópos gyökérkezelés 2 csatorna 2. kezelés";"Konzerváló fogászat";320
"Mikroszkópos gyökérkezelés 2 csatorna első kezelés";"Konzerváló fogászat";321
"Mikroszkópos gyökérkezelés 3 csatorna 2. kezelés";"Konzerváló fogászat";322
"Mikroszkópos gyökérkezelés 3 csatorna első kezelés";"Konzerváló fogászat";323
"Mikroszkópos gyökérkezelés 4 csatorna 2. kezelés";"Konzerváló fogászat";324
"Mikroszkópos gyökérkezelés 4 csatorna első kezelés";"Konzerváló fogászat";325
"Mikroszkópos gyökértömés eltávolítás gyógyszeres ideiglenes lezárással front- és kisőrlő fog esetén csatornánként";"Konzerváló fogászat";326
"Mikroszkópos gyökértömés eltávolítás gyógyszeres ideiglenes lezárással nagyörlő fog esetén csatornánként";"Konzerváló fogászat";327
"Mikroszkópos kiegészítő kezelés preparáláshoz foganként";"Konzerváló fogászat";328
"Mozgó fogak sínezése merevítőrosttal foganként";"Konzerváló fogászat";329
"Nagyőrlő direkt restauráció (2 vagy több felszínű tömés)";"Konzerváló fogászat";330
"Nagyőrlő tömés (1 felszínű tömés)";"Konzerváló fogászat";331
"Parapulparis Dentapreg PinPost™ üvegrost csap a felépítő tömés jobb rögzítésére";"Konzerváló fogászat";332
"Régi csap eltávolítása/csap";"Konzerváló fogászat";333
"Régi gyökértömés eltávolítása front és kisőrlő fogaknál csatornánként";"Konzerváló fogászat";334
"Régi gyökértömés eltávolítása nagyőrlő fog esetén csatornánként";"Konzerváló fogászat";335
"Renamel direkt héjak belső színezéssel";"Konzerváló fogászat";336
"Ribbond chip";"Konzerváló fogászat";337
"Saját kihúzott fog gyökérkezelése és visszaragasztása sínezés során";"Konzerváló fogászat";338
"Vitálterápia frontfog esetén";"Konzerváló fogászat";339
"Vitálterápia kisőrlő fog esetén";"Konzerváló fogászat";340
"Vitálterápia nagyőrlőfog esetén";"Konzerváló fogászat";341
"Kedvezményes logopédiai terápiás csomag 10. alkalom";"Logopédia";342
"Kedvezményes logopédiai terápiás csomag 11 alkalom";"Logopédia";343
"Kedvezményes logopédiai terápiás csomag 11. alkalom";"Logopédia";344
"Kedvezményes logopédiai terápiás csomag 2. alkalom";"Logopédia";345
"Kedvezményes logopédiai terápiás csomag 3. alkalom";"Logopédia";346
"Kedvezményes logopédiai terápiás csomag 4. alkalom";"Logopédia";347
"Kedvezményes logopédiai terápiás csomag 5. alkalom";"Logopédia";348
"Kedvezményes logopédiai terápiás csomag 6. alkalom";"Logopédia";349
"Kedvezményes logopédiai terápiás csomag 7. alkalom";"Logopédia";350
"Kedvezményes logopédiai terápiás csomag 8. alkalom";"Logopédia";351
"Kedvezményes logopédiai terápiás csomag 9. alkalom";"Logopédia";352
"Logopédia vizsgálat , első felmérés";"Logopédia";353
"Logopédiai kontroll";"Logopédia";354
"Logopédiai terápia";"Logopédia";355
"Logopédiai terápia testvérek 2 fő részére";"Logopédia";356
"Infant tréner -fogszabályozó előkezelés már 3 éves kortól";"Myofunkcionális tanácsadás";357
"Kontroll (személyes)";"Myofunkcionális tanácsadás";358
"Kontroll személyes, testvér kedvezmény három gyermek esetén gyermekenként";"Myofunkcionális tanácsadás";359
"Kontroll személyes, testvér kedvezmény két gyermek esetén gyermekenként";"Myofunkcionális tanácsadás";360
